//Item key;item id;item meta;label (indicative only)
//This file is auto-generated and indicative only. Don't edit it.

akwardpotion;373;16;粗制的 药水
alchemistamulet;mln24;0;item.ml_dwarves_amulet.name
alchimistexplosive;1519;3;tile.ml_stone_deco.3.name
arrow;262;0;箭
beefcooked;364;0;牛排
beefraw;363;0;生牛肉
bone;352;0;骨头
book;340;0;书
bookandquill;386;0;书与笔
bookshelves;47;0;书架
bottle;374;0;玻璃瓶
boudin;mln21;0;item.ml_boudin.name
bow;261;0;弓
bowlempty;281;0;碗
bowlsoup;282;0;蘑菇煲
bread;297;0;面包
brickmould;mln32;0;item.ml_brickmould.name
bricks;45;0;砖块
bucketempty;325;0;桶
bucketlava;327;0;岩浆桶
bucketmilk;335;0;item.mfr.bucket.milk.name
bucketwater;326;0;水桶
byzantineboots;mln84;0;item.ml_byzantineBoots.name
byzantinehelmet;mln82;0;item.ml_byzantineHelmet.name
byzantineiconlarge;mln80;0;item.ml_byzantineiconlarge.name
byzantineiconmedium;mln79;0;item.ml_byzantineiconmedium.name
byzantineiconsmall;mln78;0;item.ml_byzantineicon.name
byzantinelegs;mln81;0;item.ml_byzantineLegs.name
byzantinemace;mln85;0;item.ml_byzantineMace.name
byzantineplate;mln83;0;item.ml_byzantinePlate.name
byzantinestonetiles;1524;0;tile.byzantine_mixedbrick.name
byzantinetiles;1522;0;tile.byzantine_brick.name
byzantinetileslab;1523;0;tile.byzantine_brick_slab.name
cacauhaa;mln94;0;item.ml_cacauhaa.name
cactus;81;0;仙人掌
cake;92;0;蛋糕
calva;mln5;0;item.ml_calva.name
carrot;391;0;胡萝卜
chainboots;305;0;锁链靴子
chainchest;303;0;锁链胸甲
chainhelmet;302;0;锁链头盔
chainlegs;304;0;锁链护腿
chickencurry;mln31;0;item.ml_chickencurry.name
chickenmeat;365;0;生鸡肉
chickenmeatcooked;366;0;熟鸡肉
cider;mln4;0;item.ml_cider.name
ciderapple;mln3;0;item.ml_ciderapple.name
clay;337;0;粘土
clock;347;0;钟
clothes_byz_silk;mln86;1;item.clothes_byz_silk.name
clothes_byz_wool;mln86;0;item.clothes_byz_wool.name
coal;263;0;煤炭
cobblestone;4;0;圆石
compass;345;0;指南针
cookedbrick;1519;0;tile.ml_stone_deco.0.name
cookie;357;0;曲奇
denier;mln0;0;item.ml_denier.name
denierargent;mln2;0;item.ml_denier_argent.name
denieror;mln1;0;item.ml_denier_or.name
diamond;264;0;钻石
diamondaxe;279;0;钻石斧
diamondboots;313;0;钻石靴子
diamondchest;311;0;钻石胸甲
diamondhelmet;310;0;钻石头盔
diamondhoe;293;0;钻石锄
diamondlegs;312;0;钻石护腿
diamondpickaxe;278;0;钻石镐
diamondshovel;277;0;钻石锹
diamondsword;276;0;钻石剑
dirt;3;0;Dirt
dirtwall;1518;1;tile.ml_earth_deco.1.name
dye_black;351;0;墨囊
dye_blue;351;4;青金石
dye_brown;351;3;可可豆
dye_cyan;351;6;青色染料
dye_gray;351;8;灰色染料
dye_green;351;2;仙人掌绿
